"t","Y","Yn.lin.trend","Yn.hp","Yn.prod.fn","Yn.areosa"
2001-03-01,312469.819931944,350075.430173274,314080.595179061,312458.170287728,350075.430173274
2001-06-01,323723.55976888,359019.395853079,324245.509851239,323904.201919627,323745.26152775
2001-09-01,332524.445736432,368191.868063729,334738.326442837,333112.290030323,332550.637608774
2001-12-01,347037.642393674,377495.155865168,345568.129097052,346063.061270574,347041.415954611
2002-03-01,342296.667234209,386927.398688874,356742.671545235,348519.394017804,342345.668190624
2002-06-01,367362.824618352,396812.883576341,368270.63776165,362618.421257793,367373.409194202
2002-09-01,379794.531635396,406950.929569046,380150.949926694,376376.254422773,379824.786599522
2002-12-01,399333.231670411,417233.561933399,392380.707789705,392958.370758248,399337.962218661
2003-03-01,397241.638848818,427658.72424134,404955.372843218,402682.41505497,397288.852247546
2003-06-01,418987.336935928,438584.840793971,417873.449301199,416941.668932065,419011.820554051
2003-09-01,439349.781582791,449790.105218852,431127.18047126,433755.599144144,439379.300289872
2003-12-01,462371.639056953,461155.176427774,444707.737463587,453204.052494394,462362.169046538
2004-03-01,444783.488160836,472807.414566527,458609.867181259,461036.587512454,444861.48508897
2004-06-01,481794.960503725,484887.020630138,472838.546473112,477744.824895392,481811.110748039
2004-09-01,505252.3183942,497275.244702173,487389.487301765,496932.613627226,505280.997155515
2004-12-01,525920.445903801,509840.14664399,502263.21682037,517309.890600041,525908.99824608
2005-03-01,499710.362620398,522579.213595455,517471.481762977,523772.517478272,499798.781819931
2005-06-01,535557.41785494,535930.423502035,533042.317272797,538726.424839671,535572.820557969
2005-09-01,552859.155156813,549622.739218664,548994.619134151,554936.415010355,552904.978689188
2005-12-01,582457.567827848,563510.331446207,565350.535178732,575397.764968909,582439.120446434
2006-03-01,554270.465634429,577590.422799131,582136.647028772,581339.050629683,554357.083738327
2006-06-01,581976.856291441,592347.09657068,599393.003560592,593034.172534969,582020.113626985
2006-09-01,617847.705984914,607480.783900981,617144.502568585,611736.218488096,617886.613036192
2006-12-01,655354.894079216,622830.304237199,635406.117968345,636854.92782217,655337.58741651
2007-03-01,631423.004968652,638392.587822175,654193.803714919,648518.256225463,631521.125188476
2007-06-01,670654.703228525,654702.676744724,673537.116086967,667843.53286352,670679.217738424
2007-09-01,691845.92375563,671429.466935014,693452.40961375,688218.042926903,691901.463256183
2007-12-01,726339.305847193,688394.810580739,713954.60180228,713254.907809236,726338.992932571
2008-03-01,712055.248921701,705788.826036673,735057.808695886,727333.203858015,712165.920566379
2008-06-01,769525.15981347,723820.79998623,756784.416282542,754083.243305836,769557.596339348
2008-09-01,812602.576158029,742313.467095728,779142.412743064,786847.704689619,812615.630528527
2008-12-01,815620.1041668,761069.872172225,802147.468626947,814383.329047576,815611.352467591
2009-03-01,756127.092539166,780086.264114218,825837.184475329,816330.380639,756272.43194012
2009-06-01,803577.495474551,800016.439648314,850260.79599824,829747.784232782,803627.900567907
2009-09-01,852843.247414922,820455.804890131,875423.304927732,852924.499631549,852911.124600057
2009-12-01,920491.51985136,841186.671439124,901296.481036559,889071.591912831,920451.70838823
2010-03-01,886397.363116261,862204.893320397,927831.625312683,905961.251797502,886537.922464004
2010-06-01,944145.01491041,884233.091560427,954985.140214298,934134.387662992,944198.564835322
2010-09-01,997934.744733694,906824.081222149,982678.884998126,970923.089710652,998000.683717042
2010-12-01,1057369.87723964,929737.258140616,1010817.43846586,1016035.04296663,1057340.86710054
2011-03-01,1016530.86621352,952968.039899739,1039304.05617877,1038504.98859185,1016697.10282387
2011-06-01,1086712.47068982,977315.11686712,1068061.4491786,1074650.62544029,1086737.60834619
2011-09-01,1112334.20665857,1002284.22955032,1096989.55000379,1109281.1067048,1112425.37237459
2011-12-01,1160804.45643809,1027609.44570837,1125991.17097514,1149097.13440341,1160802.2980737
2012-03-01,1129472.63340998,1053574.56675023,1154971.06842277,1168542.31614306,1129623.02214875
2012-06-01,1183124.38392981,1080492.00783277,1183849.50769494,1196938.5774319,1183192.02804565
2012-09-01,1230449.07074432,1108097.15404535,1212525.1331745,1230992.13175774,1230520.38033588
2012-12-01,1271713.91191589,1136095.99820845,1240889.98843325,1268093.5035416,1271727.17031195
2013-03-01,1241621.48582166,1164482.94082122,1268841.8525841,1285889.09633873,1241802.36579802
2013-06-01,1322586.12295928,1194233.94463281,1296293.84001144,1320993.01045109,1322621.49153202
2013-09-01,1354132.24849949,1224745.04736622,1323138.61353236,1356080.65383139,1354243.0304528
2013-12-01,1413279.14271956,1255691.29210257,1349282.17334938,1398637.54034897,1413286.74852213
2014-03-01,1385941.77619067,1287066.4898891,1374648.57452763,1421675.31205549,1386089.39675611
2014-06-01,1422287.73793386,1319949.34175763,1399202.41196569,1448157.77379853,1422380.97287566
2014-09-01,1462133.69534687,1353672.30713661,1422918.64870168,1479005.56005025,1462232.01413781
2014-12-01,1508589.7905286,1387876.22133047,1445790.67008159,1515390.15510448,1508592.33697697
2015-03-01,1456810.00806009,1422554.24388373,1467841.34929758,1526013.73886044,1456972.47894703
2015-06-01,1480051.53039023,1458898.62923138,1489139.02329024,1539835.04812091,1480150.31491136
2015-09-01,1508182.40538233,1496171.56570598,1509752.73422915,1557222.38530444,1508291.41660984
2015-12-01,1550743.05616735,1533976.07982871,1529752.68126596,1581104.27138873,1550752.5206103
2016-03-01,1499348.4012732,1572735.81948896,1549214.38761959,1582213.60344647,1499545.8250483
2016-06-01,1558208.9754357,1612917.14608464,1568232.68771665,1598357.63667538,1558269.57956983
2016-09-01,1576776.03195715,1654125.05259729,1586876.26582549,1614214.70324062,1576910.87094612
2016-12-01,1632871.59133395,1695920.65635358,1605211.89822174,1641942.16853863,1632875.25338878
2017-03-01,1583533.74133453,1738295.59863279,1623303.95066815,1645742.61963262,1583720.51140986
2017-06-01,1626745.12706302,1782706.75930133,1641237.96838094,1657793.51608271,1626820.002591
2017-09-01,1639577.64801576,1828252.56657053,1659078.10170243,1667819.18680645,1639729.51056735
2017-12-01,1703986.17408668,1874447.93717981,1676882.3623029,1691646.98236198,1703976.72784912
2018-03-01,1644717.80258642,1921283.63249715,1694698.97691645,1689753.58767496,1644916.75390637
2018-06-01,1687047.10292457,1970369.89616818,1712595.54333411,1698408.22368244,1687141.81610852
2018-09-01,1716166.16984236,2020710.24915763,1730610.2227317,1711601.13246254,1716306.65346635
2018-12-01,1779654.83203261,2071768.54414414,1748766.3763359,1740917.22726615,1779644.60287811
2019-03-01,1713616.22190002,2123534.56995736,1767079.07900579,1743073.01550986,1713824.3748381
